Port Number,Parameter Number,Parameter Name,Parameter Value,Parameter Value Enum,Parameter Max Value,Parameter Min Value,Parameter Default Value,Parameter Unit,Parameter Writable,Value Does Not Default
0,1,Output Frequency,0.00,,650.00,-650.00,0.00,Hz  ,False,False
0,2,Commanded SpdRef,0.00,,480.00,-480.00,0.00,Hz  ,False,False
0,3,Mtr Vel Fdbk,0.00,,480.00,-480.00,0.00,Hz  ,False,False
0,4,Commanded Trq,0.00,,800.00,-800.00,0.00,%   ,False,False
0,5,Torque Cur Fdbk,0.00,,6.80,-6.80,0.00,Amps,False,False
0,6,Flux Cur Fdbk,0.00,,6.80,-6.80,0.00,Amps,False,False
0,7,Output Current,0.00,,6.80,0.00,0.00,Amps,False,False
0,8,Output Voltage,0.00,,529.00,0.00,0.00,VAC ,False,False
0,9,Output Power,0.00,,3000.00,0.00,0.00,kW  ,False,False
0,10,Output Powr Fctr,0.00,,1.00,0.00,0.00,    ,False,False
0,11,DC Bus Volts,583.97,,920.00,0.00,0.00,VDC ,False,False
0,12,DC Bus Memory,584.32,,920.00,0.00,0.00,VDC ,False,False
0,13,Elapsed MWH,0.000,,4294970000.000,0.000,0.000,MWh ,False,False
0,14,Elapsed kWH,0.221,,4294970000.000,0.000,0.000,kWh ,False,False
0,15,Elapsed Run Time,28.288,,61111.100,0.000,0.000,Hrs ,False,False
0,16,Elpsd Mtr MWHrs,0.0,,220000000.0,0.0,0.0,MWh ,False,False
0,17,Elpsd Rgn MWHrs,0.0,,220000000.0,0.0,0.0,MWh ,False,False
0,18,Elpsd Mtr kWHrs,0.3477,,220000000.0000,0.0000,0.0000,kWh ,False,False
0,19,Elpsd Rgn kWHrs,0.1272,,220000000.0000,0.0000,0.0000,kWh ,False,False
0,20,Rated Volts,480.00,,690.00,0.00,0.00,VAC ,False,False
0,21,Rated Amps,3.40,,6000.00,0.00,0.00,Amps,False,False
0,22,Rated kW,1.50,,3500.00,0.00,0.00,kW  ,False,False
0,23,Reserved,0,,0,0,0,    ,False,False
0,24,Reserved,0,,0,0,0,    ,False,False
0,25,Motor NP Volts,460.00,,529.00,0.10,460.00,VAC ,True,False
0,26,Motor NP Amps,2.90,,34.00,0.01,2.90,Amps,True,False
0,27,Motor NP Hertz,60.00,,650.00,2.00,60.00,Hz  ,True,False
0,28,Motor NP RPM,1740.0,,40000.0,1.0,1740.0,RPM ,True,False
0,29,Mtr NP Pwr Units,0,HP          ,1,0,0,    ,True,False
0,30,Motor NP Power,2.00,,2000.00,0.01,2.00,HP  ,True,False
0,31,Motor Poles,4,,200,2,4,Pole,True,False
0,32,Reserved,0,,0,0,0,    ,False,False
0,33,Reserved,0,,0,0,0,    ,False,False
0,34,Reserved,0,,0,0,0,    ,False,False
0,35,Motor Ctrl Mode,0,InductionVHz,10,0,1,    ,True,False
0,36,Maximum Voltage,460.00,,529.00,115.00,460.00,VAC ,True,False
0,37,Maximum Freq,130.00,,650.00,0.01,130.00,Hz  ,True,False
0,38,PWM Frequency,4.0,,12.0,2.0,4.0,kHz ,True,False
0,39,Reserved,0,,0,0,0,    ,False,False
0,40,Mtr Options Cfg,000098E7,,0000FFFF,00000000,000098E7,    ,True,False
0,41,Common Mode Type,0,CMV         ,1,0,0,    ,True,False
0,42,Bus Utilization,95.00,,100.00,85.00,95.00,%   ,True,False
0,43,Flux Up Enable,1,Automatic   ,1,0,1,    ,True,False
0,44,Flux Up Time,0.1139,,5.0000,0.0000,0.0000,Secs,True,False
0,45,Flux Down Ki,0.20,,100.00,0.00,0.20,    ,True,False
0,46,Flux Down Kp,150.0,,10000.0,0.0,150.0,    ,True,False
0,47,Econ At Ref Ki,305.0,,100000.0,0.0,305.0,    ,True,False
0,48,Econ AccDec Ki,200.0,,100000.0,0.0,200.0,    ,True,False
0,49,Econ AccDec Kp,100.0,,1000000.0,0.0,100.0,V/A ,True,False
0,50,Stability Filter,5162.22,,1000000.00,0.00,5162.22,Secs,True,False
0,51,Stab Volt Gain,5322.22,,10000000.00,0.00,5322.22,    ,True,False
0,52,Stab Angle Gain,790.43,,10000000.00,0.00,790.43,    ,True,False
0,53,Reserved,0,,0,0,0,    ,False,False
0,54,Reserved,0,,0,0,0,    ,False,False
0,55,Reserved,0,,0,0,0,    ,False,False
0,56,Reserved,0,,0,0,0,    ,False,False
0,57,Reserved,0,,0,0,0,    ,False,False
0,58,Reserved,0,,0,0,0,    ,False,False
0,59,Reserved,0,,0,0,0,    ,False,False
0,60,Start Acc Boost,19.80,,115.00,0.00,19.80,VAC ,True,False
0,61,Run Boost,19.80,,115.00,0.00,19.80,VAC ,True,False
0,62,Break Voltage,115.00,,690.00,0.00,115.00,VAC ,True,False
0,63,Break Frequency,15.00,,60.00,0.00,15.00,Hz  ,True,False
0,64,SVC Boost Filter,0.1000,,1000.0000,0.0001,0.1000,Secs,True,False
0,65,VHz Curve,0,Custom V/Hz ,1,0,0,    ,True,False
0,66,Reserved,0,,0,0,0,    ,False,False
0,67,Reserved,0,,0,0,0,    ,False,False
0,68,Reserved,0,,0,0,0,    ,False,False
0,69,Reserved,0,,0,0,0,    ,False,False
0,70,Autotune,1,Calculate   ,4,0,1,    ,True,False
0,71,Autotune Torque,50.00,,200.00,0.00,50.00,%   ,True,False
0,72,Reserved,0,,0,0,0,    ,False,False
0,73,IR Voltage Drop,19.80,,115.00,0.00,19.80,Volt,True,False
0,74,Ixo Voltage Drop,0.00,,460.00,0.00,115.00,VAC ,True,False
0,75,Flux Current Ref,1.45,,3.38,0.00,1.19,Amps,True,False
0,76,Total Inertia,2.00,,600.00,0.01,2.00,Secs,True,False
0,77,Inertia Test Lmt,0.0,,65535.0,0.0,0.0,Revs,True,False
0,78,Encdrlss AngComp,0.0000,,6.2831,-6.2831,0.0000,Rad ,True,False
0,79,Encdrlss VltComp,19.80,,115.00,0.00,3.50,VAC ,True,False
0,80,PM Cfg,0000,AutoOfstTest,03FF,0000,0000,    ,True,False
0,81,PM PriEnc Offset,0,,1023,0,0,    ,True,False
0,82,PM AltEnc Offset,0,,1023,0,0,    ,True,False
0,83,PM OfstTst Cur,40.00,,200.00,0.00,40.00,%   ,True,False
0,84,PM OfstTst CRamp,3.00,,100.00,0.00,3.00,Secs,True,False
0,85,PM OfstTst FRamp,60.00,,1000.00,0.00,60.00,Secs,True,False
0,86,PM CEMF Voltage,31.05,,690.00,0.00,31.05,Volt,True,False
0,87,PM IR Voltage,19.80,,115.00,0.00,3.50,Volt,True,False
0,88,PM IXq Voltage,20.01,,690.00,0.00,20.01,Volt,True,False
0,89,PM IXd Voltage,20.01,,690.00,0.00,20.01,Volt,True,False
0,90,Reserved,0,,0,0,0,    ,False,False
0,91,PM Vqs Reg Kp,2.50,,1000.00,0.00,2.50,    ,True,False
0,92,PM Vqs Reg Ki,0.50,,1000.00,0.00,0.50,    ,True,False
0,93,PM Dir Test Cur,0.29,,2.90,0.00,0.29,Amps,True,False
0,94,Reserved,0,,0,0,0,    ,False,False
0,95,VCL Cur Reg BW,0.0,,9999.0,0.0,0.0,R/S ,True,False
0,96,VCL Cur Reg Kp,1250.0,,50000.0,0.0,1250.0,    ,True,False
0,97,VCL Cur Reg Ki,60.0,,50000.0,0.0,60.0,    ,True,False
0,98,VEncdls FReg Kp,524.0,,100000.0,0.0,524.0,Hz/A,True,False
0,99,VEncdls FReg Ki,9080.0,,100000.0,0.0,9080.0,Hz/A,True,False
0,100,Slip Reg Enable,1,Enabled     ,1,0,1,    ,True,False
0,101,Slip Reg Ki,10.00,,10000.00,0.00,10.00,    ,True,False
0,102,Slip Reg Kp,0.50,,10000.00,0.00,0.50,    ,True,False
0,103,Flux Reg Enable,1,Enabled     ,1,0,1,    ,True,False
0,104,Flux Reg Ki,30.00,,10000.00,0.00,30.00,    ,True,False
0,105,Flux Reg Kp,1.00,,10000.00,0.00,1.00,    ,True,False
0,106,Trq Adapt Speed,10.00,,100.00,0.00,10.00,%   ,True,False
0,107,Trq Adapt En,1,Enabled     ,1,0,1,    ,True,False
0,108,Phase Delay Comp,0.00,,100.00,-100.00,0.00,    ,True,False
0,109,Trq Comp Mode,1,Auto        ,1,0,1,    ,True,False
0,110,Trq Comp Mtring,0.00,,50.00,-50.00,0.00,%   ,True,False
0,111,Trq Comp Regen,0.00,,50.00,-50.00,0.00,%   ,True,False
0,112,Slip Adapt Iqs,0.05,,1.00,0.00,0.05,    ,True,False
0,113,SFAdapt SlewLmt,0.00,,60.00,0.00,0.00,Secs,True,False
0,114,SFAdapt SlewRate,0.005000,,1.000000,0.000010,0.005000,    ,True,False
0,115,SFAdapt CnvrgLvl,0.010000,,1.000000,0.000010,0.010000,    ,True,False
0,116,SFAdapt CnvrgLmt,0.500,,5.000,0.000,0.500,    ,True,False
0,117,Reserved,0,,0,0,0,    ,False,False
0,118,Reserved,0,,0,0,0,    ,False,False
0,119,Reserved,0,,0,0,0,    ,False,False
0,120,PM IXqVoltage125,20.01,,690.00,0.00,20.01,Volt,True,False
0,121,Reserved,0,,0,0,0,    ,False,False
0,122,Reserved,0,,0,0,0,    ,False,False
0,123,Reserved,0,,0,0,0,    ,False,False
0,124,Reserved,0,,0,0,0,    ,False,False
0,125,Pri Vel Fdbk Sel,137,,159999,1,137,    ,True,False
0,126,Pri Vel FdbkFltr,3,50R/S Noise ,7,0,3,    ,True,False
0,127,Pri Vel Feedback,0.00,,480.00,-480.00,0.00,Hz  ,False,False
0,128,Alt Vel Fdbk Sel,137,,159999,1,137,    ,True,False
0,129,Alt Vel FdbkFltr,3,50R/S Noise ,7,0,3,    ,True,False
0,130,Alt Vel Feedback,0.00,,480.00,-480.00,0.00,Hz  ,False,False
0,131,Active Vel Fdbk,0.00,,480.00,-480.00,0.00,Hz  ,False,False
0,132,Aux Vel Fdbk Sel,137,,159999,1,137,    ,True,False
0,133,Aux Vel FdbkFltr,3,50R/S Noise ,7,0,3,    ,True,False
0,134,Aux Vel Feedback,0.00,,480.00,-480.00,0.00,Hz  ,False,False
0,135,Psn Fdbk Sel,138,,159999,1,138,    ,True,False
0,136,Load Psn FdbkSel,847,,159999,1,847,    ,True,False
0,137,Open Loop Fdbk,0,,2147483647,-2147483648,0,    ,False,False
0,138,Simulator Fdbk,0,,2147483647,-2147483648,0,    ,False,False
0,139,Delayed Spd Ref,0.00,,480.00,-480.00,0.00,Hz  ,False,False
0,140,Virtual EncDelay,0,,2147483624,-2147483648,0,    ,False,False
0,141,Virtual Enc EPR,4096,,67108864,10,4096,    ,True,False
0,142,Virtual Enc Psn,0,,2147483647,-2147483648,0,    ,False,False
0,143,Reserved,0,,0,0,0,    ,False,False
0,144,Reserved,0,,0,0,0,    ,False,False
0,145,Reserved,0,,0,0,0,    ,False,False
0,146,Reserved,0,,0,0,0,    ,False,False
0,147,Reserved,0,,0,0,0,    ,False,False
